source,target,content
danwibg,GW_WGSS,non tweet
danwibg,danwibg,tweet
danwibg,danwibg,tweet
CelebrityFind,CelebrityFind,tweet
DrugGovoruna,fche,non tweet
DrugGovoruna,Brandon_Bird,non tweet
DrugGovoruna,TeresaWatanabe,non tweet
DrugGovoruna,skarlamangla,non tweet
DrugGovoruna,UofCalifornia,non tweet
DePostManmusic,DePostManmusic,tweet
AdilaHaki,lostinacanyon,non tweet
AdilaHaki,AttorneyCrump,non tweet
BiancaLovely,BiancaLovely,tweet
flood_michelle_,slgsorority1990,non tweet
Lasher0408,KLoeffler,non tweet
Lasher0408,realDonaldTrump,non tweet
Lasher0408,JoeBiden,non tweet
Lasher0408,realDonaldTrump,non tweet
AdilaHaki,JesseASweeney,non tweet
AdilaHaki,AttorneyCrump,non tweet
AdilaHaki,TheOfficerTatum,non tweet
AdilaHaki,RealBrysonGray,non tweet
AdilaHaki,AttorneyCrump,non tweet
droitanglais,droitanglais,tweet
JISOOISUGLY,JISOOISUGLY,tweet
RapConservative,LawEnforceToday,non tweet
rethomasjr,JoeBiden,non tweet
bigdenergyb,bigdenergyb,tweet
vogelbeere,vogelbeere,tweet
jperry229,jstewi327,non tweet
jperry229,TalbertSwan,non tweet
jperry229,JoeBiden,non tweet
WWARSNEWS,WWARSNEWS,tweet
MimiTexasAngel,MimiTexasAngel,tweet
LEXercise,LEXercise,tweet
Xpressionable,Xpressionable,tweet
AsToldByPassion,AsToldByPassion,tweet
MissionaryBLMM,HuffPost,non tweet
MissionaryBLMM,HuffPostPol,non tweet
MissionaryBLMM,HuffPostWomen,non tweet
MissionaryBLMM,FACEBOOK,non tweet
MissionaryBLMM,HuffPostPol,non tweet
letstalkwinenyc,letstalkwinenyc,tweet
xoxoLizza,drclairemmassey,non tweet
xoxoLizza,mariana17905,non tweet
SvFlournoy,SvFlournoy,tweet
SvFlournoy,dlhampton,non tweet
MiamiTempleSDA,MiamiTempleSDA,tweet
floridafreshoj,floridafreshoj,tweet
RaySr1946,RaySr1946,tweet
DaddyDoggo5,Blklivesmatter,non tweet
wickedlypoetic,wickedlypoetic,tweet
CelebrityFind,SwampdrainerRay,non tweet
dciethan,bizliz318,non tweet
dciethan,ChanelleHelm,non tweet
dciethan,HarrietCarried,non tweet
DariusCEngel,gryking,non tweet
GodlessWard,JoeBiden,non tweet
Walk_0ff,Walk_0ff,tweet
Xpressionable,Xpressionable,tweet
Sunny64498448,JoeBiden,non tweet
Sunny64498448,realDonaldTrump,non tweet
DaintyDuhDitzy,DaintyDuhDitzy,tweet
paglia_ng,ELCABishopEaton,non tweet
liltwochains1,Ronnie2K,non tweet
liltwochains1,LD2K,non tweet
liltwochains1,NBA2K,non tweet
liltwochains1,Beluba,non tweet
liltwochains1,CallMeAgent00,non tweet
liltwochains1,CashNastyGaming,non tweet
KEBenjamin,KEBenjamin,tweet
MissionaryBLMM,MissionaryBLMM,tweet
KR_OWG,Bebes_Scrubs,non tweet
Shiranka__,SaharaReporters,non tweet
Shiranka__,mudashiru_obasa,non tweet
ShomanWright,ShomanWright,tweet
enriqueskincare,enriqueskincare,tweet
AttorneyCrump,AttorneyCrump,tweet
IamaCamera2,DrBiden,non tweet
IamaCamera2,BernieSanders,non tweet
IamaCamera2,ChrisVanHollen,non tweet
Nephthys1,Nephthys1,tweet
malowoussou,Carlitoo943,non tweet
malowoussou,Ryan928_,non tweet
msylvers,billmaher,non tweet
BronzeAgeHebrew,BronzeAgeHebrew,tweet
wndrfl7,DNCWarRoom,non tweet
wndrfl7,OccupyDemocrats,non tweet
wndrfl7,NAACP,non tweet
wndrfl7,NatUrbanLeague,non tweet
wndrfl7,realDonaldTrump,non tweet
caligurll17,caligurll17,tweet
MikeNova18,MikeNova18,tweet
heyygabriella,heyygabriella,tweet
JustineLimLaw,JustineLimLaw,tweet
CoffeeBrown9,Blklivesmatter,non tweet
travismoet,realDonaldTrump,non tweet
Eli_Reichman,Eli_Reichman,tweet
Yoyo_Vegas,Yoyo_Vegas,tweet
_Bambitious,_Bambitious,tweet
thekc23,briancoswald,non tweet
thekc23,LeftwardSwing,non tweet
BeingWhiteIsGr8,BeingWhiteIsGr8,tweet
BuddyWinston,BuddyWinston,tweet
Thebarbzisback,snapchat,non tweet
Thebarbzisback,twitter,non tweet
Thebarbzisback,tiktok,non tweet
Thebarbzisback,instagram,non tweet
Thebarbzisback,Facebook,non tweet
BuddyWinston,BuddyWinston,tweet
thekc23,dfaltz,non tweet
thekc23,detroithrbarbie,non tweet
thekc23,iamwandasykes,non tweet
thekc23,NAACP,non tweet
thekc23,because,non tweet
Thebarbzisback,snapchat,non tweet
Thebarbzisback,twitter,non tweet
Thebarbzisback,tiktok,non tweet
Thebarbzisback,instagram,non tweet
Thebarbzisback,Facebook,non tweet
chopinc33,BN4C_NC,non tweet
chopinc33,TheRoot,non tweet
BronzeAgeHebrew,BronzeAgeHebrew,tweet
ScottLaday,rolandsmartin,non tweet
ScottLaday,karenhunter,non tweet
ScottLaday,MattMurph24,non tweet
ScottLaday,RealDLHughley,non tweet
ScottLaday,MadisonSiriusXM,non tweet
DJFreshGress,Toure,non tweet
DJFreshGress,BarackObama,non tweet
BuddyWinston,BuddyWinston,tweet
BuddyWinston,BuddyWinston,tweet
TallMariah,sandylocks,non tweet
historicalwrite,historicalwrite,tweet
thekc23,Daniepwils1,non tweet
thekc23,lenadw56,non tweet
thekc23,ucanmaketv,non tweet
thekc23,TheRoot,non tweet
jw79bull,jw79bull,tweet
BuddyWinston,BuddyWinston,tweet
BuddyWinston,BuddyWinston,tweet
cassiaspeaks,cassiaspeaks,tweet
BuddyWinston,BuddyWinston,tweet
HerMessyAfro,HerMessyAfro,tweet
babylay09,babylay09,tweet
canyonmoonhome,canyonmoonhome,tweet
LegionJerry,YouTube,non tweet
Thebarbzisback,snapchat,non tweet
Thebarbzisback,twitter,non tweet
Thebarbzisback,tiktok,non tweet
Thebarbzisback,instagram,non tweet
Thebarbzisback,Facebook,non tweet
BronzeAgeHebrew,BronzeAgeHebrew,tweet
Die__Trying_,Die__Trying_,tweet
WillowGrovNAACP,WillowGrovNAACP,tweet
captivatingdork,captivatingdork,tweet
vivalamilliiee,iamcardib,non tweet
vivalamilliiee,desusnice,non tweet
vivalamilliiee,THEKIDMERO,non tweet
vivalamilliiee,ArtistEnvision,non tweet
magpiewdc,magpiewdc,tweet
sheri_scary,blmsouthbend,non tweet
sheri_scary,Blklivesmatter,non tweet
BuddyWinston,BuddyWinston,tweet
schwartzlady3,lipsoneric,non tweet
SZouzouti,SZouzouti,tweet
TheRunWave,les_runs,non tweet
BobGlover5,BobGlover5,tweet
00001Kat,00001Kat,tweet
Delicate_Touch_,Delicate_Touch_,tweet
BlackAfricansll,worldafrican,non tweet
1776usafreedom,JoeBiden,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
PTNickB,DontayeCarter,non tweet
PTNickB,JoeBiden,non tweet
PTNickB,Diddy,non tweet
PTNickB,Abukar_Arman,non tweet
PTNickB,common,non tweet
PTNickB,diddy,non tweet
PTNickB,AttorneyGriggs,non tweet
queenmholiday,realdonaldtrump,non tweet
Voter99percent,amjoyshow,non tweet
Voter99percent,HillaryClinton,non tweet
Voter99percent,SenSanders,non tweet
DjCowboy64,thisisinsider,non tweet
postevoice,washingtonpost,non tweet
