source,target,content
D_Peppercricket,DarkDingoDom,non tweet
D_Peppercricket,sarahsweets83,non tweet
D_Peppercricket,AFizgig,non tweet
D_Peppercricket,JestScreen,non tweet
D_Peppercricket,redqueen76,non tweet
D_Peppercricket,icefloe01,non tweet
D_Peppercricket,OSUJamieG,non tweet
D_Peppercricket,tr_wildebeest,non tweet
D_Peppercricket,kjaymes8k,non tweet
D_Peppercricket,Bluey_Bell,non tweet
D_Peppercricket,BeenIt_Bennett,non tweet
D_Peppercricket,thebigorlando,non tweet
D_Peppercricket,Pres10Vance,non tweet
CaliLiliIndies,anderscorr,non tweet
CaliLiliIndies,NickKristof,non tweet
CaliLiliIndies,nytimes,non tweet
beely,beely,tweet
EsqShaundra,EsqShaundra,tweet
alexispedrao,alexispedrao,tweet
BobBsat1,realDonaldTrump,non tweet
FairOneForest,FairOneForest,tweet
ALINASKY4,ALINASKY4,tweet
hwells0126,hwells0126,tweet
StephCassavaugh,RWPUSA,non tweet
TheatreChat,realDonaldTrump,non tweet
Chyna87234705,MittRomney,non tweet
ReparSandra,ReparSandra,tweet
violentlout,violentlout,tweet
urbanmodernism,urbanmodernism,tweet
amosgw,RogueSNRadvisor,non tweet
Julianyc422Shaw,CBSNews,non tweet
Clarazetkin2020,Clarazetkin2020,tweet
Bookgirl475,GOP,non tweet
SeeHobiRun,SeeHobiRun,tweet
vfeistner,vfeistner,tweet
getmoneycott,getmoneycott,tweet
RizaKatsudon,Krosshair_SSBU,non tweet
RizaKatsudon,gwklein75,non tweet
RizaKatsudon,CrazyChris576,non tweet
RizaKatsudon,TheWitchMilita,non tweet
RizaKatsudon,_TeeRay,non tweet
RizaKatsudon,JaX__45,non tweet
RizaKatsudon,isitsafe100,non tweet
RizaKatsudon,VinaMkayce,non tweet
RizaKatsudon,NYCDemonDiva,non tweet
RizaKatsudon,iamMimiChelles,non tweet
RizaKatsudon,Suziealto,non tweet
RizaKatsudon,kingofthecentre,non tweet
RizaKatsudon,AGuyNamedMacks,non tweet
RizaKatsudon,y2stump,non tweet
RizaKatsudon,jnxnvr,non tweet
RizaKatsudon,naeusername,non tweet
RizaKatsudon,rbonne1,non tweet
RizaKatsudon,Hamanicart617,non tweet
RizaKatsudon,MyKicksAreMyFix,non tweet
RizaKatsudon,EllisMbeh,non tweet
RizaKatsudon,MJ_Santii,non tweet
RizaKatsudon,DamianG347,non tweet
RizaKatsudon,DavKind76,non tweet
RizaKatsudon,FlashPMC,non tweet
RizaKatsudon,GameOfAnt,non tweet
RizaKatsudon,real_diculous,non tweet
RizaKatsudon,queenoftheringg,non tweet
RizaKatsudon,allhailhann,non tweet
RizaKatsudon,Blue70517,non tweet
RizaKatsudon,CaribbeanLovely,non tweet
RizaKatsudon,iamJustinRitch,non tweet
RizaKatsudon,bitchwhatline,non tweet
RizaKatsudon,only1tonid,non tweet
RizaKatsudon,juliehuha,non tweet
RizaKatsudon,deadlydayno,non tweet
RizaKatsudon,PettiESTBoss,non tweet
RizaKatsudon,GlowESTBoss,non tweet
RizaKatsudon,BossNHuganomics,non tweet
RizaKatsudon,faderunner1984,non tweet
RizaKatsudon,its_will704,non tweet
RizaKatsudon,IIconicJ,non tweet
RizaKatsudon,peytnroyce,non tweet
RizaKatsudon,NickiTMRockstar,non tweet
RizaKatsudon,edgeomatics,non tweet
RizaKatsudon,ImpossibleGxrl_,non tweet
RizaKatsudon,lydthegemini,non tweet
RizaKatsudon,EternalAlexx,non tweet
RizaKatsudon,discoprince,non tweet
RizaKatsudon,spindasan,non tweet
RizaKatsudon,DalaiLama,non tweet
waabbaC,waabbaC,tweet
BluebonnetsTx8,realDonaldTrump,non tweet
BluebonnetsTx8,POTUS,non tweet
lynchstylesx,extremetaryn,non tweet
lynchstylesx,mellablissera,non tweet
lynchstylesx,Tyla_Cugno,non tweet
lynchstylesx,aniyaabankss,non tweet
lynchstylesx,sashasquake,non tweet
lynchstylesx,bayleysqueen,non tweet
lynchstylesx,crownfIair,non tweet
lynchstylesx,blisstatements,non tweet
lynchstylesx,rondarouseyszn,non tweet
lynchstylesx,juliehuha,non tweet
lynchstylesx,VinaMkayce,non tweet
lynchstylesx,NYCDemonDiva,non tweet
lynchstylesx,iamMimiChelles,non tweet
