source,target,content
fakehead,blklivesmatter,non tweet
MelanieBcomedy,MelanieBcomedy,tweet
amystyle78,amystyle78,tweet
tartagliasx,tartagliasx,tweet
Satisfies69,NYPDnews,non tweet
Satisfies69,lapdhq,non tweet
Satisfies69,LMPD,non tweet
Satisfies69,cbsnews,non tweet
Satisfies69,cnnpolitics,non tweet
tamararochelle,tamararochelle,tweet
fakehead,Monica4LA,non tweet
fakehead,la_studentsdsrv,non tweet
fakehead,blklivesmatter,non tweet
professoraneves,AuroraGov,non tweet
shiki_vicious,shiki_vicious,tweet
qireaux,Nandi_Bushell,non tweet
qireaux,JimiHendrix,non tweet
qireaux,Fender,non tweet
tranquilroutes,jarpad,non tweet
ReasonWonder,ReasonWonder,tweet
BeTheChampionUR,elijahdaniel,non tweet
BeTheChampionUR,OpDeathEaters,non tweet
johnabbe,johnabbe,tweet
TofuClassical,TofuClassical,tweet
itsdtox,itsdtox,tweet
fakehead,DrGeorgeMcKenna,non tweet
fakehead,la_studentsdsrv,non tweet
fakehead,blklivesmatter,non tweet
diverdown48,diverdown48,tweet
Nex_OConner,Nex_OConner,tweet
bonitarosekemp,realDonaldTrump,non tweet
soldierboydean,jarpad,non tweet
mikekahnle,mikekahnle,tweet
jd_perspective,jd_perspective,tweet
LizaCobb54,LizaCobb54,tweet
medicatedlaugh,medicatedlaugh,tweet
revvrw,SailorHaumea,non tweet
JebroUnity,JebroUnity,tweet
JenitzaLuna,JenitzaLuna,tweet
msboxer22,FanDeville,non tweet
msboxer22,SonyaDevilleWWE,non tweet
poetsfortruth,amazon,non tweet
bls1969,DeMathaCatholic,non tweet
bls1969,DCSuperSid,non tweet
ms_msmarshas,ms_msmarshas,tweet
Rjs677Stephan,Rjs677Stephan,tweet
The__Sicilian,POTUS,non tweet
The__Sicilian,realDonaldTrump,non tweet
The__Sicilian,dbongino,non tweet
The__Sicilian,dbshownotes,non tweet
The__Sicilian,NYPDnews,non tweet
The__Sicilian,NYPDShea,non tweet
The__Sicilian,NYPDDetectives,non tweet
The__Sicilian,bigricanman,non tweet
VeinVigri,VeinVigri,tweet
dinalapolt,kyoag,non tweet
dinalapolt,Blklivesmatter,non tweet
dinalapolt,RepKarenBass,non tweet
BirdsNestNetwk,BirdsNestNetwk,tweet
phillyt8491,realDonaldTrump,non tweet
mikekahnle,mikekahnle,tweet
GracieNunyabiz,GracieNunyabiz,tweet
Ginger_Jordan_,Ginger_Jordan_,tweet
hubbellg,garychambersjr,non tweet
HelenaofTroy60,CharZarBar,non tweet
willislove,willislove,tweet
angeolivo,angeolivo,tweet
DeceptiveFact,DeceptiveFact,tweet
Newmoonflower99,jarpad,non tweet
maurice4747,maurice4747,tweet
the_miss_manda,realDonaldTrump,non tweet
itsStephanieGee,itsStephanieGee,tweet
1StellarHeart,1StellarHeart,tweet
perreaoult1,perreaoult1,tweet
ViceUltimate,ViceUltimate,tweet
DickMackintosh,YouTube,non tweet
deeneen17,jarpad,non tweet
_JG_1875_,Sweepsgg,non tweet
NickLaparra,NickLaparra,tweet
DOG_CHIEFLOVER,thomasfuchs,non tweet
chocolate87tee,chocolate87tee,tweet
jennylg,jennylg,tweet
K_Paddock,K_Paddock,tweet
trapholizaynews,trapholizaynews,tweet
AsinabkaFest,AsinabkaFest,tweet
brandenbaik97,brandenbaik97,tweet
samusanIam,samusanIam,tweet
_xube,jarpad,non tweet
BiggaSD,namelesstv,non tweet
CaliClover,marcushjohnson,non tweet
CaliClover,MENDFamilyCourt,non tweet
kryptonic83,YouTube,non tweet
VOgunsuyi,TorinoFC1906_En,non tweet
cenevivaricardo,_PEHFS,non tweet
cenevivaricardo,meIIorine,non tweet
ejnyamogo,ejnyamogo,tweet
gerardobarrios,RepJeffries,non tweet
gerardobarrios,senatemajldr,non tweet
PrinceTyson11,PrinceTyson11,tweet
Midu_Life,Midu_Life,tweet
BrazilBonny,Lin_Manuel,non tweet
Midu_Life,Midu_Life,tweet
Midu_Life,Midu_Life,tweet
LandladyBtn,LandladyBtn,tweet
DaveySLayz,DaveySLayz,tweet
revvrw,charliekirk11,non tweet
nikidarling911,nikidarling911,tweet
antifashyst,antifashyst,tweet
Scottie_marsh,Scottie_marsh,tweet
BeTheChampionUR,defundthepol1ce,non tweet
BeTheChampionUR,OpDeathEaters,non tweet
Rjs677Stephan,WhiteHouse,non tweet
happy_fate,happy_fate,tweet
tjjourian,them,non tweet
CursedByCastiel,jarpad,non tweet
KirstyWho,ChangeAUS,non tweet
ReasonWonder,ReasonWonder,tweet
BrazilianHoneyy,BrazilianHoneyy,tweet
Campbell2976,Campbell2976,tweet
chuckleof,realDonaldTrump,non tweet
rynelson2,jarpad,non tweet
xcalicoco,xcalicoco,tweet
RealMarcusJCage,RealMarcusJCage,tweet
AmyHitchcockSky,SkyAndyHughes,non tweet
AmyHitchcockSky,JasonFarrellSky,non tweet
AmyHitchcockSky,SkyNews,non tweet
sharonmz,realDonaldTrump,non tweet
ZamoraCode,ZamoraCode,tweet
AdorkableWriter,AdorkableWriter,tweet
spideybegins,jarpad,non tweet
Matt_StL81,Matt_StL81,tweet
BrazilBonny,BrazilBonny,tweet
Larry021880951,Yahoo,non tweet
petroglyphic,OreIdaPotatoes,non tweet
rayray522xoxo,Change,non tweet
2Photon_2022,2Photon_2022,tweet
BeTheChampionUR,OpDeathEaters,non tweet
lmazzeiphotos,StreetRidersnyc,non tweet
EdVanzd,EdVanzd,tweet
Christi99605838,Christi99605838,tweet
demarcaribe,demarcaribe,tweet
thepfa,MatyRyan,non tweet
thepfa,premierleague,non tweet
revvrw,JonahDispatch,non tweet
SusanaO4L,SusanaO4L,tweet
mikekahnle,mikekahnle,tweet
Detroit_Outkast,Detroit_Outkast,tweet
AdilaHaki,shaunking,non tweet
AdilaHaki,NYCMayor,non tweet
AdilaHaki,NYGovCuomo,non tweet
AdilaHaki,NYPDShea,non tweet
AdilaHaki,TheRevAl,non tweet
AdilaHaki,JumaaneWilliams,non tweet
