,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
8455,2020-06-21,"Black on black this time.. full grown man against an elderly woman. Fucking animal.
#BlackLivesMatter https://t.co/ULskYzP3G8",black black time full grown man elderly woman fucking animal ,1,en,"['black', 'black', 'time', 'full', 'grown', 'man', 'elderly', 'woman', 'fucking', 'animal']","[('black', 'JJ'), ('black', 'JJ'), ('time', 'NN'), ('full', 'JJ'), ('grown', 'NN'), ('man', 'NN'), ('elderly', 'JJ'), ('woman', 'NN'), ('fucking', 'VBG'), ('animal', 'NN')]", black black time full grown man elderly woman fuck animal,0.95823145
8457,2020-06-21,@andrewkimmel 2/2 I was told I wasn’t allowed to ask them to leave which is the only reason I didn’t gut them for their racist comments. I simply told them I supported #BlackLivesMatter and got my black manager to back me up until they felt uncomfortable on their own 🖕,told wasn’t allowed ask leave reason didn’t gut racist comments simply told supported got black manager back felt uncomfortable ,1,en,"['told', 'allowed', 'ask', 'leave', 'reason', 'gut', 'racist', 'comments', 'simply', 'told', 'supported', 'got', 'black', 'manager', 'back', 'felt', 'uncomfortable']","[('told', 'NN'), ('allowed', 'VBD'), ('ask', 'NNS'), ('leave', 'VBP'), ('reason', 'NN'), ('gut', 'JJ'), ('racist', 'NN'), ('comments', 'NNS'), ('simply', 'RB'), ('told', 'VBD'), ('supported', 'VBN'), ('got', 'VBD'), ('black', 'JJ'), ('manager', 'NN'), ('back', 'RB'), ('felt', 'VBD'), ('uncomfortable', 'JJ')]", told allow ask leave reason gut racist comment simply tell support get black manager back felt uncomfortable,0.35848913
8458,2020-06-21,"Message to Zoomers and younger Millennials:

Yes, this is kind of a lecture, but not a ""you suck"" lecture. It's more of a ""you're awesome, so please don't make the same mistakes we did"" kind of thing.

#Zoomers #kpopstans #BlackLivesMatter",message zoomers younger millennials yes kind lecture suck lecture youre awesome please dont make mistakes kind thing ,1,en,"['message', 'zoomers', 'younger', 'millennials', 'yes', 'kind', 'lecture', 'suck', 'lecture', 'youre', 'awesome', 'please', 'dont', 'make', 'mistakes', 'kind', 'thing']","[('message', 'NN'), ('zoomers', 'NNS'), ('younger', 'JJR'), ('millennials', 'NNS'), ('yes', 'VBP'), ('kind', 'NN'), ('lecture', 'NN'), ('suck', 'JJ'), ('lecture', 'NN'), ('youre', 'NN'), ('awesome', 'JJ'), ('please', 'NN'), ('dont', 'NNS'), ('make', 'VBP'), ('mistakes', 'NNS'), ('kind', 'NN'), ('thing', 'NN')]", message zoomers young millennials yes kind lecture suck lecture youre awesome please dont make mistake kind thing,0.8060606
8459,2020-06-21,"I have seen sooooo many black bootlickers undermining #BlackLivesMatter movement.

This isn’t about liberals or conservatives, this isn’t about God &amp; country, this isn’t about your white boyfriend or girlfriend, this is about equality without asking for it. #ICantBreath https://t.co/YhZCpSg8sI",seen sooooo many black bootlickers undermining movement isn’t liberals conservatives isn’t god amp country isn’t white boyfriend girlfriend equality without asking ,1,en,"['seen', 'sooooo', 'many', 'black', 'bootlickers', 'undermining', 'movement', 'liberals', 'conservatives', 'god', 'amp', 'country', 'white', 'boyfriend', 'girlfriend', 'equality', 'without', 'asking']","[('seen', 'VBN'), ('sooooo', 'JJ'), ('many', 'JJ'), ('black', 'JJ'), ('bootlickers', 'NNS'), ('undermining', 'VBG'), ('movement', 'NN'), ('liberals', 'NNS'), ('conservatives', 'VBZ'), ('god', 'JJ'), ('amp', 'JJ'), ('country', 'NN'), ('white', 'JJ'), ('boyfriend', 'VBP'), ('girlfriend', 'JJ'), ('equality', 'NN'), ('without', 'IN'), ('asking', 'VBG')]", see sooooo many black bootlicker undermine movement liberal conservatives god amp country white boyfriend girlfriend equality without ask,0.67828923
8460,2020-06-21,"#BlackLivesMatter thugs was harassing and threatening to kill NYPD officers moments before the arrest in Queens 

#nypd #BlueLivesMatters https://t.co/LIwQ5WTHCb",thugs harassing threatening kill nypd officers moments arrest queens ,1,en,"['thugs', 'harassing', 'threatening', 'kill', 'nypd', 'officers', 'moments', 'arrest', 'queens']","[('thugs', 'NNS'), ('harassing', 'VBG'), ('threatening', 'VBG'), ('kill', 'NN'), ('nypd', 'JJ'), ('officers', 'NNS'), ('moments', 'NNS'), ('arrest', 'VBP'), ('queens', 'NNS')]", thug harass threaten kill nypd officer moment arrest queen,0.74389875
8461,2020-06-21,@balleralert #JAlexanderKeung #Murderer  #StayAway from society - ur a criminal and need to be in jail not shopping at Cub Foods in Plymouth REMEMBER #GeorgeFloyd #BlackLivesMatter,society ur criminal need jail shopping cub foods plymouth remember ,1,en,"['society', 'criminal', 'need', 'jail', 'shopping', 'cub', 'foods', 'plymouth', 'remember']","[('society', 'NN'), ('criminal', 'JJ'), ('need', 'NN'), ('jail', 'NN'), ('shopping', 'NN'), ('cub', 'NN'), ('foods', 'NNS'), ('plymouth', 'VBP'), ('remember', 'VB')]", society criminal need jail shopping cub food plymouth remember,0.5154597
8462,2020-06-21,"We appreciate all of our clients.  Part of our mission from the beginning has been to make sure Black stories, voices, businesses and products are shared with the world!

#blackclientsmatter #blacklivesmatter #blackculture #blackbusiness #withaneyepr https://t.co/2puQDdLWAQ",appreciate clients part mission beginning make sure black stories voices businesses products shared world ,1,en,"['appreciate', 'clients', 'part', 'mission', 'beginning', 'make', 'sure', 'black', 'stories', 'voices', 'businesses', 'products', 'shared', 'world']","[('appreciate', 'NN'), ('clients', 'NNS'), ('part', 'NN'), ('mission', 'NN'), ('beginning', 'VBG'), ('make', 'JJ'), ('sure', 'JJ'), ('black', 'JJ'), ('stories', 'NNS'), ('voices', 'NNS'), ('businesses', 'NNS'), ('products', 'NNS'), ('shared', 'VBD'), ('world', 'NN')]", appreciate client part mission begin make sure black story voice business product share world,0.18846844
8463,2020-06-21,"@realDonaldTrump Oh, fvck off!! #LiarInChief #RacistInChief #TrumpIsUnwell #TrumpIsAnIdiot #briannataylor #BlackLivesMatter #EqualRights #TrumpRallyFail #TrumpResignNow",oh fvck ,1,en,['fvck'],"[('fvck', 'NN')]", fvck,100.0
8465,2020-06-21,"#BlackLivesMatter 
#BlackHealingMatters 
#BlackRestMatters 

Shoutout to our amazing Black, Indigenous, POC healers and volunteers who have given so much and created beautiful spaces of rest for Oakland. https://t.co/wTtCZAcBO6",shoutout amazing black indigenous poc healers volunteers given much created beautiful spaces rest oakland ,1,en,"['shoutout', 'amazing', 'black', 'indigenous', 'poc', 'healers', 'volunteers', 'given', 'much', 'created', 'beautiful', 'spaces', 'rest', 'oakland']","[('shoutout', 'NN'), ('amazing', 'VBG'), ('black', 'JJ'), ('indigenous', 'JJ'), ('poc', 'NN'), ('healers', 'NNS'), ('volunteers', 'NNS'), ('given', 'VBN'), ('much', 'RB'), ('created', 'VBN'), ('beautiful', 'JJ'), ('spaces', 'NNS'), ('rest', 'VBP'), ('oakland', 'NN')]", shoutout amaze black indigenous poc healer volunteer give much create beautiful space rest oakland,0.5806827
8466,2020-06-21,"I feel good to know that, after all the sh!t Trump's done, I still feel some sympathy for him doing the #WalkofShame. So, after he's *trounced* in a 50-state loss in November, I'll dance on a MAGA hat for 44 minutes instead of 45. See? I'm still a good person🙂
#BlackLivesMatter https://t.co/Anlg4jh6HK",feel good know sht trumps done still feel sympathy hes trounced state loss november ill dance maga hat minutes instead see im still good person ,1,en,"['feel', 'good', 'know', 'sht', 'trumps', 'done', 'still', 'feel', 'sympathy', 'hes', 'trounced', 'state', 'loss', 'november', 'ill', 'dance', 'maga', 'hat', 'minutes', 'instead', 'see', 'still', 'good', 'person']","[('feel', 'VB'), ('good', 'JJ'), ('know', 'NNS'), ('sht', 'VBP'), ('trumps', 'NNS'), ('done', 'VBN'), ('still', 'RB'), ('feel', 'VB'), ('sympathy', 'JJ'), ('hes', 'NNS'), ('trounced', 'VBD'), ('state', 'NN'), ('loss', 'NN'), ('november', 'NN'), ('ill', 'JJ'), ('dance', 'NN'), ('maga', 'NN'), ('hat', 'WP'), ('minutes', 'NNS'), ('instead', 'RB'), ('see', 'VB'), ('still', 'RB'), ('good', 'JJ'), ('person', 'NN')]", feel good know sht trump do still feel sympathy he trounce state loss november ill dance maga hat minute instead see still good person,0.31089434
