,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
859,2020-05-22,"Kentucky is a #StandYourGround state, unless you're a black man.

F*ck you, @LMPD. You're TERRIBLE people.

#KennethWalker
#BreonnaTaylor
#BlackLivesMatter
#PoliceBrutality
#FTP #racist
#racistPIG

https://t.co/t7D95Upurm",kentucky state unless youre black man fck youre terrible people ,1,en,"['kentucky', 'state', 'unless', 'youre', 'black', 'man', 'fck', 'youre', 'terrible', 'people']","[('kentucky', 'JJ'), ('state', 'NN'), ('unless', 'IN'), ('youre', 'NN'), ('black', 'JJ'), ('man', 'NN'), ('fck', 'JJ'), ('youre', 'NN'), ('terrible', 'JJ'), ('people', 'NNS')]", kentucky state unless youre black man fck youre terrible people,0.936566
860,2020-05-22,"Britain’s Ethnic Minorities Are Being Left for Dead: The government could have predicted, and perhaps prevented, many deaths. It did not.  https://t.co/6rBRfcoXs4 #BlackLivesMatter",britain’s ethnic minorities left dead government could predicted perhaps prevented many deaths ,1,en,"['britain', 'ethnic', 'minorities', 'left', 'dead', 'government', 'could', 'predicted', 'perhaps', 'prevented', 'many', 'deaths']","[('britain', 'NN'), ('ethnic', 'JJ'), ('minorities', 'NNS'), ('left', 'VBN'), ('dead', 'JJ'), ('government', 'NN'), ('could', 'MD'), ('predicted', 'VB'), ('perhaps', 'RB'), ('prevented', 'VBN'), ('many', 'JJ'), ('deaths', 'NNS')]", britain ethnic minority leave dead government could predict perhaps prevent many death,0.6365737
862,2020-05-22,"In memoriam of #AhmaudArbery and to honor #TheLastPoetsChallenge. Here is a quarantine edition of #BLACKLIVESMATTER for #HipHopAppreciationWeek 2020.  ✊🏾
.
#Ellect #JusListenEnt #Philly #hiphop #rap #music #video… https://t.co/iDuQ49FlBT",memoriam honor quarantine edition ,1,en,"['memoriam', 'honor', 'quarantine', 'edition']","[('memoriam', 'NNS'), ('honor', 'VBP'), ('quarantine', 'JJ'), ('edition', 'NN')]", memoriam honor quarantine edition,0.08550315
864,2020-05-22,@cspanwj @Bakari_Sellers  Some seriously horrible people on this thread and on the phone telling this man he doesn't have a right to tell his story and that #BlackLivesMatter is race baiting. Racist #MAGAt assholes.,seriously horrible people thread phone telling man doesnt right tell story race baiting racist assholes ,1,en,"['seriously', 'horrible', 'people', 'thread', 'phone', 'telling', 'man', 'doesnt', 'right', 'tell', 'story', 'race', 'baiting', 'racist', 'assholes']","[('seriously', 'RB'), ('horrible', 'JJ'), ('people', 'NNS'), ('thread', 'VBP'), ('phone', 'NN'), ('telling', 'VBG'), ('man', 'NN'), ('doesnt', 'NN'), ('right', 'RB'), ('tell', 'VB'), ('story', 'NN'), ('race', 'NN'), ('baiting', 'VBG'), ('racist', 'NN'), ('assholes', 'NNS')]", seriously horrible people thread phone tell man doesnt right tell story race bait racist asshole,0.9495267
866,2020-05-22,If you read one thing this on this #InternationalBioDiversityDay as we brace for #HurricaneSeason  I hope it's this piece I wrote with  @KingdomLiving4u https://t.co/rN1zoDb7DF #blacklivesmatter #IndigenousPeoples #forests #wetlands,read one thing brace hope piece wrote ,1,en,"['read', 'one', 'thing', 'brace', 'hope', 'piece', 'wrote']","[('read', 'VB'), ('one', 'CD'), ('thing', 'NN'), ('brace', 'NN'), ('hope', 'VBP'), ('piece', 'IN'), ('wrote', 'VBD')]", read one thing brace hope piece write,0.08351047
867,2020-05-22,"I am so tired of seeing black men and women be mistreated, arrested, injured and killed just living their normal lives. The very system which was built to protect these individuals continues to fail them over and over again. It's simply heartbreaking. #BlackLivesMatter https://t.co/NodA9tNdkO",tired seeing black men women mistreated arrested injured killed living normal lives system built protect individuals continues fail simply heartbreaking ,1,en,"['tired', 'seeing', 'black', 'men', 'women', 'mistreated', 'arrested', 'injured', 'killed', 'living', 'normal', 'lives', 'system', 'built', 'protect', 'individuals', 'continues', 'fail', 'simply', 'heartbreaking']","[('tired', 'JJ'), ('seeing', 'VBG'), ('black', 'JJ'), ('men', 'NNS'), ('women', 'NNS'), ('mistreated', 'VBD'), ('arrested', 'VBN'), ('injured', 'JJ'), ('killed', 'VBD'), ('living', 'VBG'), ('normal', 'JJ'), ('lives', 'NNS'), ('system', 'NN'), ('built', 'VBN'), ('protect', 'JJ'), ('individuals', 'NNS'), ('continues', 'VBZ'), ('fail', 'VBP'), ('simply', 'RB'), ('heartbreaking', 'VBG')]", tired see black men woman mistreat arrest injured kill live normal life system build protect individual continue fail simply heartbreaking,0.6973629
868,2020-05-22,@cspanwj @Bakari_Sellers Why is it that #AllLivesMatter doesn't include #BlackLivesMatter?,doesnt include ,1,en,"['doesnt', 'include']","[('doesnt', 'NN'), ('include', 'VBP')]", doesnt include,0.05680247
869,2020-05-22,"Don't worry democrats have a plan for that:

1. Make sure he's can pull of the senile gig until debate time.
2. Drops out due to senility
3. Install HRC or Michelle as alternate.  VP goes to dark horse mayor Pete.

But...you know, the thing...#BlackLivesMatter https://t.co/OZZhtARscP",dont worry democrats plan make sure hes pull senile gig debate time drops due senility install hrc michelle alternate vp goes dark horse mayor pete butyou know thing ,1,en,"['dont', 'worry', 'democrats', 'plan', 'make', 'sure', 'hes', 'pull', 'senile', 'gig', 'debate', 'time', 'drops', 'due', 'senility', 'install', 'hrc', 'michelle', 'alternate', 'goes', 'dark', 'horse', 'mayor', 'pete', 'butyou', 'know', 'thing']","[('dont', 'NN'), ('worry', 'NN'), ('democrats', 'VBZ'), ('plan', 'VBP'), ('make', 'VB'), ('sure', 'JJ'), ('hes', 'NNS'), ('pull', 'VBP'), ('senile', 'JJ'), ('gig', 'NN'), ('debate', 'NN'), ('time', 'NN'), ('drops', 'NNS'), ('due', 'JJ'), ('senility', 'NN'), ('install', 'NN'), ('hrc', 'NN'), ('michelle', 'NN'), ('alternate', 'NN'), ('goes', 'VBZ'), ('dark', 'JJ'), ('horse', 'NN'), ('mayor', 'NN'), ('pete', 'NN'), ('butyou', 'NN'), ('know', 'VBP'), ('thing', 'NN')]", dont worry democrats plan make sure he pull senile gig debate time drop due senility install hrc michelle alternate go dark horse mayor pete butyou know thing,0.5531602
870,2020-05-22,@nowthisnews This is shitty!!#BlackLivesMatter,shitty ,1,en,['shitty'],"[('shitty', 'NN')]", shitty,0.94992846
871,2020-05-22,"This is Unbelievable!!🔥🔥🔥🔥
That is disgusting!🔥🔥🔥
Your not Black? WOW!!!!
Don’t let Joe Biden get away with this!!! 
#BlackLivesMatter 
#BlackOwned https://t.co/C7B9qTHuF7",unbelievable disgusting black wow don’t let joe biden get away ,1,en,"['unbelievable', 'disgusting', 'black', 'wow', 'let', 'joe', 'biden', 'get', 'away']","[('unbelievable', 'JJ'), ('disgusting', 'VBG'), ('black', 'JJ'), ('wow', 'NN'), ('let', 'NN'), ('joe', 'NNP'), ('biden', 'VB'), ('get', 'VB'), ('away', 'RP')]", unbelievable disgust black wow let joe biden get away,0.80011636
